reply,class,source
"@CBCPolitics Time to get snipers out on the roofs. Take him out, no talking!!!",comment,Soldier shot at National War Memorial in Ottawa http://t.co/Sgmcq7gUzf #cdnpoli #hw
🚨🚨😳 “@BBCBreaking: Watch video showing gunfire inside Canada's parliament in Ottawa http://t.co/ZliVbLVzrp http://t.co/5bo39y5pHc”,comment,Watch video showing gunfire inside Canada's parliament in Ottawa http://t.co/CJpXNAk8nS http://t.co/hxwr2NEr2K
@BBCBreaking @TheMattB81 this is crazy...,support,Watch video showing gunfire inside Canada's parliament in Ottawa http://t.co/CJpXNAk8nS http://t.co/hxwr2NEr2K
“@BBCBreaking:  gunfire inside Canada's parliament in Ottawa http://t.co/9XPzxYwFI2 http://t.co/5grXS1Fhd4” @hughieb79 Tim Martin??,comment,Watch video showing gunfire inside Canada's parliament in Ottawa http://t.co/CJpXNAk8nS http://t.co/hxwr2NEr2K
@BBCBreaking @BBCWorld 2-3 means are controlling the whole police haha,support,Watch video showing gunfire inside Canada's parliament in Ottawa http://t.co/CJpXNAk8nS http://t.co/hxwr2NEr2K
Now what! “@BBCBreaking: Watch video showing gunfire inside Canada's parliament in Ottawa http://t.co/AMraVs0bEg http://t.co/mu6FDnsUSd”,deny,Watch video showing gunfire inside Canada's parliament in Ottawa http://t.co/CJpXNAk8nS http://t.co/hxwr2NEr2K
“@BBCBreaking: Watch video showing gunfire inside Canada's parliament in Ottawa http://t.co/GPF3jvzlFG http://t.co/9c6QBSwr6m” WTF 😳,support,Watch video showing gunfire inside Canada's parliament in Ottawa http://t.co/CJpXNAk8nS http://t.co/hxwr2NEr2K
"@FlemosKing @BBCBreaking 
WHOOPS - Angry man looka silly on the internet.

""Ottawa suspect was 'Canadian convert to Islam'""",comment,Watch video showing gunfire inside Canada's parliament in Ottawa http://t.co/CJpXNAk8nS http://t.co/hxwr2NEr2K
"“@BBCBreaking: Watch video showing gunfire inside Canada's parliament in Ottawa http://t.co/O47xVihF1V http://t.co/M7R71czM6G”

Omg!",support,Watch video showing gunfire inside Canada's parliament in Ottawa http://t.co/CJpXNAk8nS http://t.co/hxwr2NEr2K
@FlemosKing @BBCBreaking Hey ill give you one.   Ill take the other dozen.,comment,Watch video showing gunfire inside Canada's parliament in Ottawa http://t.co/CJpXNAk8nS http://t.co/hxwr2NEr2K
@BBCBreaking @BBCWorld @cnnbrk @cnn @CNN @CBCNews It was eminent for Canada being safe haven &amp; a sanctuary for these jihadis &amp; terrorists,comment,Watch video showing gunfire inside Canada's parliament in Ottawa http://t.co/CJpXNAk8nS http://t.co/hxwr2NEr2K
@FlemosKing @BBCBreaking HAHAHA hes a muslim.   Fucktard,comment,Watch video showing gunfire inside Canada's parliament in Ottawa http://t.co/CJpXNAk8nS http://t.co/hxwr2NEr2K
@danlouth90 @BBCBreaking definitely tank top. Chuck key ......use it.,comment,Watch video showing gunfire inside Canada's parliament in Ottawa http://t.co/CJpXNAk8nS http://t.co/hxwr2NEr2K
@BBCBreaking The Religion of Peace I am guessing.,comment,Watch video showing gunfire inside Canada's parliament in Ottawa http://t.co/CJpXNAk8nS http://t.co/hxwr2NEr2K
"@BBCBreaking cr@p, now for even more security.. what moron decided was a good thing to do? No, don't give him the publicity by telling us!!",comment,Watch video showing gunfire inside Canada's parliament in Ottawa http://t.co/CJpXNAk8nS http://t.co/hxwr2NEr2K
@Teknofish @BBCBreaking shooting randomly at defenseless ppl ...I'm would bet on it ..,comment,Watch video showing gunfire inside Canada's parliament in Ottawa http://t.co/CJpXNAk8nS http://t.co/hxwr2NEr2K
Super scary “@BBCBreaking: Watch video showing gunfire inside Canada's parliament in Ottawa http://t.co/qL7qy8JTfz http://t.co/t4K5TtoIUC”,support,Watch video showing gunfire inside Canada's parliament in Ottawa http://t.co/CJpXNAk8nS http://t.co/hxwr2NEr2K
"@BBCBreaking Why are the enforcement folks not wearing bullet proof helmets, while they wear bullet proof vests?",comment,Watch video showing gunfire inside Canada's parliament in Ottawa http://t.co/CJpXNAk8nS http://t.co/hxwr2NEr2K
“@BBCBreaking: Watch video showing gunfire inside Canada's parliament in Ottawa http://t.co/xX5qB7L8KJ http://t.co/cAI5O1gOeA”,support,Watch video showing gunfire inside Canada's parliament in Ottawa http://t.co/CJpXNAk8nS http://t.co/hxwr2NEr2K
@Teknofish @BBCBreaking u dumb fuck before u open ur mouth u should get ur fact ta straight.. isn't it funny that it was white guy?,comment,Watch video showing gunfire inside Canada's parliament in Ottawa http://t.co/CJpXNAk8nS http://t.co/hxwr2NEr2K
“@FutbolLife: AC Milan midfielder Michael Essien has been diagnosed with Ebola. Get well soon Michael. [Daily Times] http://t.co/5izSo4f134”,support,AC Milan midfielder Michael Essien has been diagnosed with Ebola. Get well soon Michael. [Daily Times] http://t.co/r6y8d9HMAw
@FutbolLife @blayrobert @Carlosisking7,comment,AC Milan midfielder Michael Essien has been diagnosed with Ebola. Get well soon Michael. [Daily Times] http://t.co/r6y8d9HMAw
"“@FutbolLife: AC Milan midfielder Michael Essien has been diagnosed with Ebola. Get well soon Michael. http://t.co/uxxr2UdAOg”

Fuck off😳",comment,AC Milan midfielder Michael Essien has been diagnosed with Ebola. Get well soon Michael. [Daily Times] http://t.co/r6y8d9HMAw
“@FutbolLife: AC Milan midfielder Michael Essien has been diagnosed with Ebola. Get well soon Michael. [Daily Times] http://t.co/htvSb4ZIZ7”,support,AC Milan midfielder Michael Essien has been diagnosed with Ebola. Get well soon Michael. [Daily Times] http://t.co/r6y8d9HMAw
Glad to hear this is just a rumour. Disgusting whoever made this up. Apologies to @MichaelEssien and for any offence caused.,deny,AC Milan midfielder Michael Essien has been diagnosed with Ebola. Get well soon Michael. [Daily Times] http://t.co/r6y8d9HMAw
@FutbolLife @TransferSelect no he hasn't,deny,AC Milan midfielder Michael Essien has been diagnosed with Ebola. Get well soon Michael. [Daily Times] http://t.co/r6y8d9HMAw
@FutbolLife no he hasn't. The man himself confirmed not true @MichaelEssien,deny,AC Milan midfielder Michael Essien has been diagnosed with Ebola. Get well soon Michael. [Daily Times] http://t.co/r6y8d9HMAw
@Gonzoradlife @FutbolLife @Carlosisking7 woah wtf 😩,comment,AC Milan midfielder Michael Essien has been diagnosed with Ebola. Get well soon Michael. [Daily Times] http://t.co/r6y8d9HMAw
"@FootballcomEN This is not funny, people are dying from this. You should be ashamed of yourself.",comment,Unconfirmed reports claim that Michael Essien has contracted Ebola. http://t.co/VASQrZdLhH
“@FootballcomEN: Unconfirmed reports claim that Michael Essien has contracted Ebola. http://t.co/afwQo7evNc” 😥,comment,Unconfirmed reports claim that Michael Essien has contracted Ebola. http://t.co/VASQrZdLhH
@LuigiLouco999 @FootballcomEN O QUE TEM O MEU HOMEM??,comment,Unconfirmed reports claim that Michael Essien has contracted Ebola. http://t.co/VASQrZdLhH
“@FootballcomEN: Unconfirmed reports claim that Michael Essien has contracted Ebola. http://t.co/jLtsMM9csZ” @LewisLowe1,support,Unconfirmed reports claim that Michael Essien has contracted Ebola. http://t.co/VASQrZdLhH
@JoeDavey7 @FootballcomEN fs Joe 😂😂😂,comment,Unconfirmed reports claim that Michael Essien has contracted Ebola. http://t.co/VASQrZdLhH
@FootballcomEN rah,comment,Unconfirmed reports claim that Michael Essien has contracted Ebola. http://t.co/VASQrZdLhH
😯“@FootballcomEN: Unconfirmed reports claim that Michael Essien has contracted Ebola. http://t.co/PPifXdQmGo”,comment,Unconfirmed reports claim that Michael Essien has contracted Ebola. http://t.co/VASQrZdLhH
@MikellySuarez @FootballcomEN ele tá com ebola,comment,Unconfirmed reports claim that Michael Essien has contracted Ebola. http://t.co/VASQrZdLhH
“@FootballcomEN: Unconfirmed reports claim that Michael Essien has contracted Ebola. http://t.co/hXEgDnArgg” 😕,comment,Unconfirmed reports claim that Michael Essien has contracted Ebola. http://t.co/VASQrZdLhH
Yeah it's sad when your family gets it. Idiot. “@AyyBant: @LobittaT @FootballcomEN https://t.co/hepUeNtotN he has its so sad”,deny,Unconfirmed reports claim that Michael Essien has contracted Ebola. http://t.co/VASQrZdLhH
@FootballcomEN MEU DEUS OLHA ISSO @MikellySuarez,comment,Unconfirmed reports claim that Michael Essien has contracted Ebola. http://t.co/VASQrZdLhH
@LobittaT @FootballcomEN my family are not african. Denied.,comment,Unconfirmed reports claim that Michael Essien has contracted Ebola. http://t.co/VASQrZdLhH
@AyyBant @FootballcomEN Fuck off. You're an attention seeking cunt.,comment,Unconfirmed reports claim that Michael Essien has contracted Ebola. http://t.co/VASQrZdLhH
“@FootballcomEN: Unconfirmed reports claim that Michael Essien has contracted Ebola. http://t.co/60KVmzU3w2” unconfirmed.....,comment,Unconfirmed reports claim that Michael Essien has contracted Ebola. http://t.co/VASQrZdLhH
Umdlali webhola vele RT @FootballcomEN: Unconfirmed reports claim that Michael Essien has contracted Ebola. http://t.co/gqRDmeghVf”,comment,Unconfirmed reports claim that Michael Essien has contracted Ebola. http://t.co/VASQrZdLhH
@LobittaT @FootballcomEN https://t.co/mhS5jDdPFb he has its so sad,support,Unconfirmed reports claim that Michael Essien has contracted Ebola. http://t.co/VASQrZdLhH
“@FootballcomEN: Unconfirmed reports claim that Michael Essien has contracted Ebola. http://t.co/LAVYq2As2v”STRESS!,comment,Unconfirmed reports claim that Michael Essien has contracted Ebola. http://t.co/VASQrZdLhH
@FootballcomEN how would someone start such a bizarre rumour about Essien?Human beings are heartless,deny,Unconfirmed reports claim that Michael Essien has contracted Ebola. http://t.co/VASQrZdLhH
"@FootballcomEN if it is unconfirmed, why do you tweet it?",query,Unconfirmed reports claim that Michael Essien has contracted Ebola. http://t.co/VASQrZdLhH
@LuigiLouco999 @FootballcomEN DEUS E MAIS E SEROO ISSO?,comment,Unconfirmed reports claim that Michael Essien has contracted Ebola. http://t.co/VASQrZdLhH
Ok “@FootballcomEN: Unconfirmed reports claim that Michael Essien has contracted Ebola. http://t.co/4njTb3xTKm”,comment,Unconfirmed reports claim that Michael Essien has contracted Ebola. http://t.co/VASQrZdLhH
"@ohlozzie @FootballcomEN Who mentioned it being funny? 'UNCONFIRMED reports'.... to translate: 'it might not be true, but...'",deny,Unconfirmed reports claim that Michael Essien has contracted Ebola. http://t.co/VASQrZdLhH
"Stop it! Hope you get Ebola, you utter twat “@FootballcomEN: Unconfirmed reports claim Essien has contracted Ebola. http://t.co/8ZFTGNz86a”",comment,Unconfirmed reports claim that Michael Essien has contracted Ebola. http://t.co/VASQrZdLhH
"What? ""@FootballcomEN: Unconfirmed reports claim that Michael Essien has contracted Ebola. http://t.co/GsEizhwaV7""",comment,Unconfirmed reports claim that Michael Essien has contracted Ebola. http://t.co/VASQrZdLhH
@LisaBloom  stranger by the second,comment,#Ferguson chief let most of day go by b4 disclosing (after repeated Qs) that cop who killed #MikeBrown knew nothing about robbery. DANGER
@veggietrunks @leonlohr @LisaBloom it prevented future crimes by #MikeBrown,comment,#Ferguson chief let most of day go by b4 disclosing (after repeated Qs) that cop who killed #MikeBrown knew nothing about robbery. DANGER
"@LisaBloom Polluting potential jurors by any Chief of LEOs should be an intentional malice reprimand,+ the county DA may be his Advisor",deny,#Ferguson chief let most of day go by b4 disclosing (after repeated Qs) that cop who killed #MikeBrown knew nothing about robbery. DANGER
@TimWiseheart Incorrect. Was on sick person call &amp; then driving came across Brown &amp; friend walking &amp; asked they get off the road @LisaBloom,support,#Ferguson chief let most of day go by b4 disclosing (after repeated Qs) that cop who killed #MikeBrown knew nothing about robbery. DANGER
@leonlohr @LisaBloom But she's very good at instigating and baiting....just like her mother. Smh,query,#Ferguson chief let most of day go by b4 disclosing (after repeated Qs) that cop who killed #MikeBrown knew nothing about robbery. DANGER
@veggietrunks @LisaBloom since the 'witness' version is incomplete/inaccurate the whole 'hands up' part prob isn't true either #Ferguson,comment,#Ferguson chief let most of day go by b4 disclosing (after repeated Qs) that cop who killed #MikeBrown knew nothing about robbery. DANGER
@LisaBloom #MikeBrown connects the robbery w shooting. dont have to be a genius. a guy who shoves clerk is s'posed to raise his hands later?,comment,#Ferguson chief let most of day go by b4 disclosing (after repeated Qs) that cop who killed #MikeBrown knew nothing about robbery. DANGER
@LisaBloom you know the cop didnt have to know about robbery for this video to have value. you're not very good at being stupid.,comment,#Ferguson chief let most of day go by b4 disclosing (after repeated Qs) that cop who killed #MikeBrown knew nothing about robbery. DANGER
@29plussome @LisaBloom seems like theres soo much about this case it gets confusing yet there isnt enough info??,support,#Ferguson chief let most of day go by b4 disclosing (after repeated Qs) that cop who killed #MikeBrown knew nothing about robbery. DANGER
"@LisaBloom he didn't say he didn't know about the robbery, it went out over radio, he said he didn't know #MikeBrown was a suspect",comment,#Ferguson chief let most of day go by b4 disclosing (after repeated Qs) that cop who killed #MikeBrown knew nothing about robbery. DANGER
@RobKCorbettEsq @LisaBloom And it is down right disrespectful to the young man and his family.,comment,#Ferguson chief let most of day go by b4 disclosing (after repeated Qs) that cop who killed #MikeBrown knew nothing about robbery. DANGER
@leonlohr @LisaBloom Shoving a clerk means you'll take on a police officer with a  gun? #SoundLogic #YesThisIsSarcasm #MikeBrown,query,#Ferguson chief let most of day go by b4 disclosing (after repeated Qs) that cop who killed #MikeBrown knew nothing about robbery. DANGER
@LisaBloom that's what I thought too... http://t.co/SALT2ztcEq,support,#Ferguson chief let most of day go by b4 disclosing (after repeated Qs) that cop who killed #MikeBrown knew nothing about robbery. DANGER
@veggietrunks @LisaBloom not necessarily. but it might show a particular disposition towards authority figures.,comment,#Ferguson chief let most of day go by b4 disclosing (after repeated Qs) that cop who killed #MikeBrown knew nothing about robbery. DANGER
@LisaBloom @Pixelfish #IMMORTALCONSCIOUSNESS https://t.co/f1mezwr58r,comment,#Ferguson chief let most of day go by b4 disclosing (after repeated Qs) that cop who killed #MikeBrown knew nothing about robbery. DANGER
@LisaBloom I want to believe its total incompetence.  But its was all on purpose to change public opinion.  My guess is it will continue,comment,#Ferguson chief let most of day go by b4 disclosing (after repeated Qs) that cop who killed #MikeBrown knew nothing about robbery. DANGER
@LisaBloom @southerntalker #Ferguson Chief needs to be removed from his job...I never meant 4 this 2 happen..don't insult our intelligence,support,#Ferguson chief let most of day go by b4 disclosing (after repeated Qs) that cop who killed #MikeBrown knew nothing about robbery. DANGER
@LisaBloom did of release the report filed by Wilson?,query,#Ferguson chief let most of day go by b4 disclosing (after repeated Qs) that cop who killed #MikeBrown knew nothing about robbery. DANGER
@leonlohr @LisaBloom and who would blame them when those authority figures are gunning surrendering suspects down?,query,#Ferguson chief let most of day go by b4 disclosing (after repeated Qs) that cop who killed #MikeBrown knew nothing about robbery. DANGER
@leonlohr @LisaBloom Yep!! Splitting image in everything except one has black hair and other blonde....,query,#Ferguson chief let most of day go by b4 disclosing (after repeated Qs) that cop who killed #MikeBrown knew nothing about robbery. DANGER
@LisaBloom but mike brown knew about the robbery and DIDN'T know the cop didn't know - that's what makes it POSSIBLY relevant,deny,#Ferguson chief let most of day go by b4 disclosing (after repeated Qs) that cop who killed #MikeBrown knew nothing about robbery. DANGER
@missypach @LisaBloom i had no idea that was her mom.,comment,#Ferguson chief let most of day go by b4 disclosing (after repeated Qs) that cop who killed #MikeBrown knew nothing about robbery. DANGER
"@LisaBloom that's unfortunate. signed, ferguson PD",comment,#Ferguson chief let most of day go by b4 disclosing (after repeated Qs) that cop who killed #MikeBrown knew nothing about robbery. DANGER
@LisaBloom @ZerlinaMaxwell The people responsible for killing #MikeBrown should not be in control of the evidence proving what happenend.,comment,#Ferguson chief let most of day go by b4 disclosing (after repeated Qs) that cop who killed #MikeBrown knew nothing about robbery. DANGER
"@leonlohr @LisaBloom I rolled through a stop sign once, the cop was shouting at me like I killed someone. I was terrified. They #overreact.",support,#Ferguson chief let most of day go by b4 disclosing (after repeated Qs) that cop who killed #MikeBrown knew nothing about robbery. DANGER
"@TimWiseheart It's like the 'connect the dots' books. If they sold cliff notes, they'd be outdated by day end. Bumbling idiots @LisaBloom",comment,#Ferguson chief let most of day go by b4 disclosing (after repeated Qs) that cop who killed #MikeBrown knew nothing about robbery. DANGER
@LisaBloom Did the media ask for the video under FOIA as the Chief of Police said? And why was video released without  commentary in am?,query,#Ferguson chief let most of day go by b4 disclosing (after repeated Qs) that cop who killed #MikeBrown knew nothing about robbery. DANGER
It's a strategy to manipulate media and misinform people. @LisaBloom,query,#Ferguson chief let most of day go by b4 disclosing (after repeated Qs) that cop who killed #MikeBrown knew nothing about robbery. DANGER
@LisaBloom Of course he did. It gave people time to solidify the opinions that they already had. It was a calculated move.,comment,#Ferguson chief let most of day go by b4 disclosing (after repeated Qs) that cop who killed #MikeBrown knew nothing about robbery. DANGER
"@LisaBloom @ZerlinaMaxwell For that reason precisely, media should refrain from connecting the two. Stay with the shooting story.",comment,#Ferguson chief let most of day go by b4 disclosing (after repeated Qs) that cop who killed #MikeBrown knew nothing about robbery. DANGER
@LisaBloom @lawalazu  it's about changing the narrative.,comment,#Ferguson chief let most of day go by b4 disclosing (after repeated Qs) that cop who killed #MikeBrown knew nothing about robbery. DANGER
@LisaBloom Lisa is he the confirmed robber?,query,#Ferguson chief let most of day go by b4 disclosing (after repeated Qs) that cop who killed #MikeBrown knew nothing about robbery. DANGER
@29plussome @LisaBloom i relistened to the press conf &amp; ur right i was wrong,comment,#Ferguson chief let most of day go by b4 disclosing (after repeated Qs) that cop who killed #MikeBrown knew nothing about robbery. DANGER
@LisaBloom Have to show Mike without clean hands somehow.,comment,#Ferguson chief let most of day go by b4 disclosing (after repeated Qs) that cop who killed #MikeBrown knew nothing about robbery. DANGER
"@veggietrunks @LisaBloom sad that happened to you. no doubt there are racist/ignorant cops. but not all, maybe not #Ferguson",comment,#Ferguson chief let most of day go by b4 disclosing (after repeated Qs) that cop who killed #MikeBrown knew nothing about robbery. DANGER
"@LisaBloom the chief said this am that cop was at a call for sick person, then got the call for store strong arm robbery",support,#Ferguson chief let most of day go by b4 disclosing (after repeated Qs) that cop who killed #MikeBrown knew nothing about robbery. DANGER
“@MichaelSkolnik: Every 28 hours a black male is killed in the United States by police or vigilantes. #Ferguson”,support,Every 28 hours a black male is killed in the United States by police or vigilantes. #Ferguson
#WeAreTargets “@MichaelSkolnik: Every 28 hours a black male is killed in the United States by police or vigilantes. #Ferguson”,support,Every 28 hours a black male is killed in the United States by police or vigilantes. #Ferguson
@MichaelSkolnik This is the best data I can find on arrest-related deaths. Is there better out there? Thanks! http://t.co/eFx8lV6QKu,query,Every 28 hours a black male is killed in the United States by police or vigilantes. #Ferguson
RT @MichaelSkolnik: Every 28 hours a black male is killed in the United States by police or vigilantes. #Ferguson,support,Every 28 hours a black male is killed in the United States by police or vigilantes. #Ferguson
#RIPMikeBrown RT @MichaelSkolnik Every 28 hours a black male is killed in the United States by police or vigilantes. #Ferguson,comment,Every 28 hours a black male is killed in the United States by police or vigilantes. #Ferguson
@MichaelSkolnik fuck these crooked ass cops all around the world...yea i said it,comment,Every 28 hours a black male is killed in the United States by police or vigilantes. #Ferguson
Real life. “@MichaelSkolnik: Every 28 hours a black male is killed in the United States by police or vigilantes. #Ferguson”,support,Every 28 hours a black male is killed in the United States by police or vigilantes. #Ferguson
"@MichaelSkolnik Not the time for a plug, but it would be great if you came and spoke at Morehouse @Morehouse @marclamonthill",comment,Every 28 hours a black male is killed in the United States by police or vigilantes. #Ferguson
THIS HAS TO END “@MichaelSkolnik: Every 28 hours a black male is killed in the United States by police or vigilantes. #Ferguson”,support,Every 28 hours a black male is killed in the United States by police or vigilantes. #Ferguson
"“@MichaelSkolnik: Every 28 hours a black male is killed in the United States by police or vigilantes. #Ferguson”

Can I have your source?",query,Every 28 hours a black male is killed in the United States by police or vigilantes. #Ferguson
cc: @desireeadaway RT @MichaelSkolnik: Every 28 hours a black male is killed in the United States by police or vigilantes. #Ferguson,comment,Every 28 hours a black male is killed in the United States by police or vigilantes. #Ferguson
“@MichaelSkolnik: Every 28 hours a black male is killed in the United States by police or vigilantes. #Ferguson” this is a sad stat.,support,Every 28 hours a black male is killed in the United States by police or vigilantes. #Ferguson
RT @MichaelSkolnik: Every 28 hours a black male is killed in the United States by police or vigilantes. #Ferguson,comment,Every 28 hours a black male is killed in the United States by police or vigilantes. #Ferguson
Wow. “@MichaelSkolnik: Every 28 hours a black male is killed in the United States by police or vigilantes. #Ferguson”,comment,Every 28 hours a black male is killed in the United States by police or vigilantes. #Ferguson
“@MichaelSkolnik: Every 28 hours a black male is killed in the United States by police or vigilantes. #Ferguson”,comment,Every 28 hours a black male is killed in the United States by police or vigilantes. #Ferguson
"“@MichaelSkolnik: Every 28 hours a black male is killed in the United States by police or vigilantes. #Ferguson”

this makes me cry.",support,Every 28 hours a black male is killed in the United States by police or vigilantes. #Ferguson
RT@MichaelSkolnik: Every 28 hours a black male is killed in the United States by police or vigilantes. #Ferguson,comment,Every 28 hours a black male is killed in the United States by police or vigilantes. #Ferguson
“@MichaelSkolnik: Every 28 hours a black male is killed in the United States by police or vigilantes. #Ferguson”,support,Every 28 hours a black male is killed in the United States by police or vigilantes. #Ferguson
"@MichaelSkolnik What is your source? Are there similar figures for white, Latino and Asian males?",query,Every 28 hours a black male is killed in the United States by police or vigilantes. #Ferguson
“@MichaelSkolnik: Every 28 hours a black male is killed in the United States by police or vigilantes. #Ferguson” sad truth!,support,Every 28 hours a black male is killed in the United States by police or vigilantes. #Ferguson
"@MichaelSkolnik @MediaLizzy Oh do tell where they keep track of ""vigilante"" stats.  That's interesting.",query,Every 28 hours a black male is killed in the United States by police or vigilantes. #Ferguson
“@MichaelSkolnik: Every 28 hours a black male is killed in the United States by police or vigilantes. #Ferguson” that is sad,comment,Every 28 hours a black male is killed in the United States by police or vigilantes. #Ferguson
@MadChad412 @MichaelSkolnik and as far as Google goes. I'm published on google being biased as all hell. I don't trust everything I google,comment,Every 28 hours a black male is killed in the United States by police or vigilantes. #Ferguson
@MichaelSkolnik @BlackGinger5 Source?,query,Every 28 hours a black male is killed in the United States by police or vigilantes. #Ferguson
@MichaelSkolnik got a state link so I can post to my FB account? ... many thanks,query,Every 28 hours a black male is killed in the United States by police or vigilantes. #Ferguson
“@MichaelSkolnik: Every 28 hours a black male is killed in the United States by police or vigilantes. #Ferguson” How do we #StopTheMadness,comment,Every 28 hours a black male is killed in the United States by police or vigilantes. #Ferguson
“@MichaelSkolnik: Every 28 hours a black male is killed in the United States by police or vigilantes. #Ferguson”,comment,Every 28 hours a black male is killed in the United States by police or vigilantes. #Ferguson
@MichaelSkolnik @Pants_So_Short tweet #wearetargets keep this stream of consciousness going. Don't stop,comment,Every 28 hours a black male is killed in the United States by police or vigilantes. #Ferguson
“@MichaelSkolnik: Every 28 hours a black male is killed in the United States by police or vigilantes. #Ferguson”,comment,Every 28 hours a black male is killed in the United States by police or vigilantes. #Ferguson
“@MichaelSkolnik: Every 28 hours a black male is killed in the United States by police or vigilantes. #Ferguson”,support,Every 28 hours a black male is killed in the United States by police or vigilantes. #Ferguson
@Dustin_Jeffrey @MichaelSkolnik he is a legit source.,comment,Every 28 hours a black male is killed in the United States by police or vigilantes. #Ferguson
"@MadChad412 @MichaelSkolnik that's fine, but I would like definitive proof before making a hypothesis",query,Every 28 hours a black male is killed in the United States by police or vigilantes. #Ferguson
@Dustin_Jeffrey @MichaelSkolnik  you can google it. Same as whites and blacks smoke weed at some rate but blacks 8 more times 2 b arrested,comment,Every 28 hours a black male is killed in the United States by police or vigilantes. #Ferguson
@MichaelSkolnik @slobotski is that true? It's an awful stat,query,Every 28 hours a black male is killed in the United States by police or vigilantes. #Ferguson
THIS “@MichaelSkolnik: Every 28 hours a black male is killed in the United States by police or vigilantes. #Ferguson”,comment,Every 28 hours a black male is killed in the United States by police or vigilantes. #Ferguson
RT@MichaelSkolnik Every 28 hours a black male is killed in the United States by police or vigilantes. #Ferguson,support,Every 28 hours a black male is killed in the United States by police or vigilantes. #Ferguson
“@MichaelSkolnik: Every 28 hours a black male is killed in the United States by police or vigilantes. #Ferguson”&lt;~~ damn!,comment,Every 28 hours a black male is killed in the United States by police or vigilantes. #Ferguson
@MichaelSkolnik can you ask people to call #Ferguson and tell them to quit with m-16 and dogs at the protests? 314-522-3100,comment,Every 28 hours a black male is killed in the United States by police or vigilantes. #Ferguson
@a_man_in_black @andybankertv @FOX2now @tomman1 I'm not arguing that he deserved to be shot.,query,"Store owner told @FOX2now Monday that there was a theft, but said it was not MichaelBrown; said it was someone else #Ferguson"
@andybankertv @FOX2now   Is that the video also?,query,"Store owner told @FOX2now Monday that there was a theft, but said it was not MichaelBrown; said it was someone else #Ferguson"
@a_man_in_black @andybankertv @FOX2now Dorian Johnson just confirmed it was them. What now? #blackdenial,comment,"Store owner told @FOX2now Monday that there was a theft, but said it was not MichaelBrown; said it was someone else #Ferguson"
@tomman191 @andybankertv @FOX2now Then what are you arguing?,comment,"Store owner told @FOX2now Monday that there was a theft, but said it was not MichaelBrown; said it was someone else #Ferguson"
@andybankertv @FOX2now This is getting stranger by the minute. Will we ever get to the truth?,comment,"Store owner told @FOX2now Monday that there was a theft, but said it was not MichaelBrown; said it was someone else #Ferguson"
@tomman191 @andybankertv @FOX2now And the store owner and the pictures say it wasn't. Why does someone who didn't see it matter?,query,"Store owner told @FOX2now Monday that there was a theft, but said it was not MichaelBrown; said it was someone else #Ferguson"
@andybankertv @FOX2now no doubt scared for his life. It's obviously mike brown in the video,comment,"Store owner told @FOX2now Monday that there was a theft, but said it was not MichaelBrown; said it was someone else #Ferguson"
@SLEEZAVELLI @andybankertv @FOX2now Truer words have never been spoken.,support,"Store owner told @FOX2now Monday that there was a theft, but said it was not MichaelBrown; said it was someone else #Ferguson"
@lilfer1234 @andybankertv @FOX2now you seem to be the only one and that is a testament to your character miss.,support,"Store owner told @FOX2now Monday that there was a theft, but said it was not MichaelBrown; said it was someone else #Ferguson"
@andybankertv @FOX2now Your post states theft.  What am I missing?,comment,"Store owner told @FOX2now Monday that there was a theft, but said it was not MichaelBrown; said it was someone else #Ferguson"
@ithl123 I could tell it wasn't him when I saw the video. @andybankertv @FOX2now,support,"Store owner told @FOX2now Monday that there was a theft, but said it was not MichaelBrown; said it was someone else #Ferguson"
"@andybankertv @FOX2now think he was too scare to tell who it really was? How many 6'5"" 300 # men in Ferguson ?",comment,"Store owner told @FOX2now Monday that there was a theft, but said it was not MichaelBrown; said it was someone else #Ferguson"
"@tomman191 @andybankertv @FOX2now Hey everybody, @tomman1 robbed a store. Can they shoot you down? Can I say that after they shoot you down?",comment,"Store owner told @FOX2now Monday that there was a theft, but said it was not MichaelBrown; said it was someone else #Ferguson"
@lilfer1234 @FOX2now possibly. He seemed frightened,comment,"Store owner told @FOX2now Monday that there was a theft, but said it was not MichaelBrown; said it was someone else #Ferguson"
@andybankertv @FOX2now Any chance that's being said for fear of retribution?,query,"Store owner told @FOX2now Monday that there was a theft, but said it was not MichaelBrown; said it was someone else #Ferguson"
@JohnGerads @FOX2now actually I did use the word robbery,comment,"Store owner told @FOX2now Monday that there was a theft, but said it was not MichaelBrown; said it was someone else #Ferguson"
"@tomman191 @andybankertv @FOX2now looooool. ""snitches get stiches in the hood"" (noracist bro)",comment,"Store owner told @FOX2now Monday that there was a theft, but said it was not MichaelBrown; said it was someone else #Ferguson"
"@andybankertv @FOX2now Brown's family attorney said in an interview today that the person in the video ""probably is Brown""",comment,"Store owner told @FOX2now Monday that there was a theft, but said it was not MichaelBrown; said it was someone else #Ferguson"
"@JohnGerads @FOX2now when I spoke to store owner, I said ""robbery"", tweeted ""theft"" in error",comment,"Store owner told @FOX2now Monday that there was a theft, but said it was not MichaelBrown; said it was someone else #Ferguson"
@andybankertv  now we now why!!  Jeez!!,comment,"Store owner told @FOX2now Monday that there was a theft, but said it was not MichaelBrown; said it was someone else #Ferguson"
